"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,";"buzzardLabel";9;"";;;
2;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
3;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
4;"U1";"SOT-23-3";1;"SI7211-B-00-IV";;;
5;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
6;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
7;"C1";"0603C";1;"0.1uF";;;
8;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
9;"G***";"Symbol-Front-Magnetic-Field";1;"LOGO";;;
10;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
11;"K1";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
